SKU,Description,Brand,Supplier,UOM,Opening,Incoming,Issued,Sold,Adjustments
SUR-001,Currete,,,pcs,0,0,0,0,0
SUR-002,Clamp,,,pcs,0,0,0,0,0
SUR-003,McPherson Forcep,,,pcs,0,0,0,0,0
SUR-004,Vannas Scissor,,,pcs,0,0,0,0,0
SUR-005,Utrata Forcep,,,pcs,0,0,0,0,0
SUR-006,Dual End Chopper,,,pcs,0,0,0,0,0
SUR-007,Speculum,,,pcs,0,0,0,0,0
SUR-008,Lid Speculum,,,pcs,0,0,0,0,0
SUR-009,.12 Forcep,,,pcs,0,0,0,0,0
SUR-010,Fixed Caliper,,,pcs,0,0,0,0,0
SUR-011,Castroviejo Adjustable Caliper,,,pcs,0,0,0,0,0
SUR-012,Scleral Depressor,,,pcs,0,0,0,0,0
SUR-013,Eye Speculum,,,pcs,0,0,0,0,0
SUR-014,Bunge Evisceration Spoon,,,pcs,0,0,0,0,0
SUR-015,Mule Evisceration Spoon,,,pcs,0,0,0,0,0
SUR-016,Muscle Hook,,,pcs,0,0,0,0,0
SUR-017,BP Handle No.3,,,pcs,0,0,0,0,0
SUR-018,Iris Scissor Curved,,,pcs,0,0,0,0,0
SUR-019,Corneal Forcep,,,pcs,0,0,0,0,0
SUR-020,Needle Holder,,,pcs,0,0,0,0,0
SUR-021,Utility Forcep,,,pcs,0,0,0,0,0
SUR-022,McPherson Tying Forceps,,,pcs,0,0,0,0,0
SUR-023,Cautery Ball,,,pcs,0,0,0,0,0
SUR-024,Toric Marker,,,pcs,0,0,0,0,0
SUR-025,Wescot Scissor,,,pcs,0,0,0,0,0
SUR-026,Blade Holder - Blade 15,,,pcs,0,0,0,0,0
SUR-027,Lens Spoon,,,pcs,0,0,0,0,0
SUR-028,Saptula/Chopper,,,pcs,0,0,0,0,0
SUR-029,Nylon 10-0,,,pcs,0,0,0,0,0
SUR-030,Simcoe Needle,,,pcs,0,0,0,0,0
